architecture_id,base_architecture_id,dataset_profile,run_name,run_status,comet_experiment_key,comet_metric_upload,mode,step,sample_count,clip_model,median_reference_similarity,median_reference_gain_vs_pm,median_face_similarity_to_pm_output,median_face_distance_from_pm_output,median_bbox_iou_vs_pm,median_landmark_displacement_vs_pm,median_full_mae_vs_pm,median_face_mae_vs_pm,median_outside_mae_vs_pm,median_prompt_image_clip_cosine,median_prompt_image_clip_score,median_pm_prompt_image_clip_cosine,median_prompt_image_clip_gain_vs_pm,face_detection_rate,selection_score
L4_C4_large_projection_schedule,E12_projection_split_schedule,cosmic_large_id00081,23Jul4k_L4_C4_large_projection_schedule_id00081_s0_4000__20260724T011752Z,completed,4c5910831d3a4698aa9f1159d3b69362,completed,canonical50,2000,4,ViT-L/14@336px,0.2908018231391907,-0.25500455498695374,0.37502479553222656,0.6249752044677734,0.9407667815685272,0.021633889061805432,0.02375616692006588,0.09424185752868652,0.018825713545084,0.2332860454916954,23.32860454916954,0.22367063164710999,0.008815564215183258,1.0,0.32686888980478523
L4_C4_large_projection_schedule,E12_projection_split_schedule,cosmic_large_id00081,23Jul4k_L4_C4_large_projection_schedule_id00081_s0_4000__20260724T011752Z,completed,4c5910831d3a4698aa9f1159d3b69362,completed,canonical50,2500,4,ViT-L/14@336px,0.2755991965532303,-0.25795671343803406,0.35285133123397827,0.6471486687660217,0.9491631090641022,0.021723844101291093,0.023896029219031334,0.09132609143853188,0.018857703544199467,0.2412736862897873,24.12736862897873,0.22367063164710999,0.017603054642677307,1.0,0.31587005352189956
L4_C4_large_projection_schedule,E12_projection_split_schedule,cosmic_large_id00081,23Jul4k_L4_C4_large_projection_schedule_id00081_s0_4000__20260724T011752Z,completed,4c5910831d3a4698aa9f1159d3b69362,completed,canonical50,3000,4,ViT-L/14@336px,0.2684464454650879,-0.2873263359069824,0.36292795836925507,0.6370720416307449,0.9485694169998169,0.024008902880273526,0.024083140306174755,0.09122243896126747,0.018998469226062298,0.24737772345542908,24.737772345542908,0.22367063164710999,0.023707091808319092,1.0,0.3028520917926397
L4_C4_large_projection_schedule,E12_projection_split_schedule,cosmic_large_id00081,23Jul4k_L4_C4_large_projection_schedule_id00081_s0_4000__20260724T011752Z,completed,4c5910831d3a4698aa9f1159d3b69362,completed,canonical50,3500,4,ViT-L/14@336px,0.28623098134994507,-0.26954180002212524,0.3505397289991379,0.6494602710008621,0.9509342014789581,0.022285081293967397,0.024037133902311325,0.0916965939104557,0.018877707421779633,0.24981221556663513,24.981221556663513,0.22367063164710999,0.02587033063173294,1.0,0.3260622913438275
L4_C4_large_projection_schedule,E12_projection_split_schedule,cosmic_large_id00081,23Jul4k_L4_C4_large_projection_schedule_id00081_s0_4000__20260724T011752Z,completed,4c5910831d3a4698aa9f1159d3b69362,completed,canonical50,4000,4,ViT-L/14@336px,0.2770957052707672,-0.2786770761013031,0.32451319694519043,0.6754868030548096,0.9478333592414856,0.02375750462342425,0.024384574964642525,0.09309995174407959,0.019075123593211174,0.2569674551486969,25.69674551486969,0.22367063164710999,0.028776071965694427,1.0,0.3193314381669592
L4_O4_oneid_projection_schedule,E12_projection_split_schedule,one_id_nm0005092_subset8_distinct,23Jul4k_L4_O4_oneid_projection_schedule_nm0005092_oneid8_distinct_s0_4000__20260724T011752Z,completed,0bc34c4779da4717bf0d410e3ad4a3ca,completed,canonical50,0,4,ViT-L/14@336px,0.3434416502714157,0.06891703605651855,0.503709614276886,0.496290385723114,0.9270590543746948,0.032347007393823804,0.020581575110554695,0.09926986694335938,0.016167218796908855,0.24810998141765594,24.810998141765594,0.25814613699913025,-0.005835376679897308,1.0,0.3456775599345763
L4_O4_oneid_projection_schedule,E12_projection_split_schedule,one_id_nm0005092_subset8_distinct,23Jul4k_L4_O4_oneid_projection_schedule_nm0005092_oneid8_distinct_s0_4000__20260724T011752Z,completed,0bc34c4779da4717bf0d410e3ad4a3ca,completed,canonical50,500,4,ViT-L/14@336px,0.27134744822978973,-0.04544574022293091,0.558718353509903,0.44128164649009705,0.941794365644455,0.016211063940000388,0.01902645919471979,0.08160993829369545,0.015389122534543276,0.2585718184709549,25.85718184709549,0.25814613699913025,0.000425681471824646,1.0,0.28911981401417874
L4_O4_oneid_projection_schedule,E12_projection_split_schedule,one_id_nm0005092_subset8_distinct,23Jul4k_L4_O4_oneid_projection_schedule_nm0005092_oneid8_distinct_s0_4000__20260724T011752Z,completed,0bc34c4779da4717bf0d410e3ad4a3ca,completed,canonical50,1000,4,ViT-L/14@336px,0.28695107996463776,-0.017791658639907837,0.5858019590377808,0.41419804096221924,0.943656325340271,0.013546116945141299,0.018756955862045288,0.08098338916897774,0.015222621150314808,0.25464746356010437,25.464746356010437,0.25814613699913025,-0.0029813870787620544,1.0,0.30380364928842524
L4_O4_oneid_projection_schedule,E12_projection_split_schedule,one_id_nm0005092_subset8_distinct,23Jul4k_L4_O4_oneid_projection_schedule_nm0005092_oneid8_distinct_s0_4000__20260724T011752Z,completed,0bc34c4779da4717bf0d410e3ad4a3ca,completed,canonical50,1500,4,ViT-L/14@336px,0.3237728625535965,-0.0025219395756721497,0.574121743440628,0.42587825655937195,0.9538863003253937,0.01202404440654818,0.01883548218756914,0.07992316409945488,0.014753330033272505,0.252601683139801,25.260168313980103,0.25814613699913025,-0.0012966543436050415,1.0,0.3466524571558311
L4_O4_oneid_projection_schedule,E12_projection_split_schedule,one_id_nm0005092_subset8_distinct,23Jul4k_L4_O4_oneid_projection_schedule_nm0005092_oneid8_distinct_s0_4000__20260724T011752Z,completed,0bc34c4779da4717bf0d410e3ad4a3ca,completed,canonical50,2000,4,ViT-L/14@336px,0.3138792812824249,-0.007385276257991791,0.5426416397094727,0.45735836029052734,0.950995534658432,0.01624245816350859,0.018822661601006985,0.08098304271697998,0.014914259780198336,0.2505444586277008,25.05444586277008,0.25814613699913025,-0.004195593297481537,1.0,0.3362444867546725
L4_O4_oneid_projection_schedule,E12_projection_split_schedule,one_id_nm0005092_subset8_distinct,23Jul4k_L4_O4_oneid_projection_schedule_nm0005092_oneid8_distinct_s0_4000__20260724T011752Z,completed,0bc34c4779da4717bf0d410e3ad4a3ca,completed,canonical50,2500,4,ViT-L/14@336px,0.3017587512731552,0.013259753584861755,0.5502950251102448,0.44970497488975525,0.9541968703269958,0.01487380779828787,0.01897226832807064,0.08143995329737663,0.014921918977051973,0.2549819350242615,25.498193502426147,0.25814613699913025,-0.006945997476577759,1.0,0.3246232776225185
L4_O4_oneid_projection_schedule,E12_projection_split_schedule,one_id_nm0005092_subset8_distinct,23Jul4k_L4_O4_oneid_projection_schedule_nm0005092_oneid8_distinct_s0_4000__20260724T011752Z,completed,0bc34c4779da4717bf0d410e3ad4a3ca,completed,canonical50,3000,4,ViT-L/14@336px,0.3135964721441269,-0.0016706734895706177,0.5569305121898651,0.4430694878101349,0.9501062333583832,0.014318271370267152,0.018787126056849957,0.08077022433280945,0.014581444673240185,0.2537044733762741,25.37044733762741,0.25814613699913025,-0.00568746030330658,1.0,0.33698862863103257
L4_O4_oneid_projection_schedule,E12_projection_split_schedule,one_id_nm0005092_subset8_distinct,23Jul4k_L4_O4_oneid_projection_schedule_nm0005092_oneid8_distinct_s0_4000__20260724T011752Z,completed,0bc34c4779da4717bf0d410e3ad4a3ca,completed,canonical50,3500,4,ViT-L/14@336px,0.2939634323120117,0.007306709885597229,0.5539164841175079,0.44608351588249207,0.95340496301651,0.013542757479096876,0.01891057752072811,0.08170240744948387,0.014837080147117376,0.2532583475112915,25.32583475112915,0.25814613699913025,-0.008699208498001099,1.0,0.3183547588285127
L4_O4_oneid_projection_schedule,E12_projection_split_schedule,one_id_nm0005092_subset8_distinct,23Jul4k_L4_O4_oneid_projection_schedule_nm0005092_oneid8_distinct_s0_4000__20260724T011752Z,completed,0bc34c4779da4717bf0d410e3ad4a3ca,completed,canonical50,4000,4,ViT-L/14@336px,0.32134710252285004,0.006650328636169434,0.5716379582881927,0.42836204171180725,0.9509658813476562,0.013011738315040166,0.018860158510506153,0.08518624305725098,0.01466979319229722,0.2521393299102783,25.213932991027832,0.25814613699913025,-0.0026346445083618164,1.0,0.34349252381575957
L4_O2_oneid_projection_blend20,L4_O2_oneid_projection_blend20,one_id_nm0005092_subset8_distinct,23Jul4k_L4_O2_oneid_projection_blend20_nm0005092_oneid8_distinct_s0_4000__20260724T083049Z,running,f13dcde405aa4632a20c3a46def6d7ab,completed,canonical50,0,4,ViT-L/14@336px,0.3434416502714157,0.06891703605651855,0.503709614276886,0.496290385723114,0.9270590543746948,0.032347007393823804,0.020581575110554695,0.09926986694335938,0.016167218796908855,0.24810998141765594,24.810998141765594,0.25814613699913025,-0.005835376679897308,1.0,0.3456775599345763
L4_O2_oneid_projection_blend20,L4_O2_oneid_projection_blend20,one_id_nm0005092_subset8_distinct,23Jul4k_L4_O2_oneid_projection_blend20_nm0005092_oneid8_distinct_s0_4000__20260724T083049Z,running,f13dcde405aa4632a20c3a46def6d7ab,completed,canonical50,500,4,ViT-L/14@336px,0.2685903012752533,-0.034530237317085266,0.5940605401992798,0.4059394598007202,0.9462900757789612,0.015224652277221225,0.0185663104057312,0.07812236249446869,0.014899637550115585,0.256607785820961,25.6607785820961,0.25814613699913025,-0.0015383511781692505,1.0,0.28224230216921875
